timestamp;tag;duration;package_0;dram_0;core_0;uncore_0
1687867584.3059273;start;0.00030040740966796875;0.0;0.0;6165.0;0.0
1687867584.3062277;foo;10.009771347045898;59497651.0;9677282.0;35916107.0;972715.0
1687867594.32673;start;0.0014452934265136719;4517.0;1099.0;2136.0;0.0
1687867594.3281753;foo;10.012514114379883;47807372.0;9505346.0;24308532.0;1000669.0
1687867604.347393;start;0.0010457038879394531;2746.0;1160.0;1770.0;0.0
1687867604.3484387;foo;10.011118173599243;44702156.0;9289771.0;21476812.0;903806.0
1687867614.3663337;start;0.0013418197631835938;6653.0;916.0;976.0;0.0
1687867614.3676755;foo;10.010580778121948;48581175.0;9520117.0;25157468.0;965452.0
1687867624.3850067;start;0.0013508796691894531;2442.0;1831.0;1098.0;0.0
1687867624.3863575;foo;10.011659622192383;44585823.0;9341041.0;21297858.0;945371.0
1687867634.3997614;start;0.00023651123046875;0.0;0.0;2746.0;183.0
1687867634.399998;foo;10.00833797454834;50598870.0;9575598.0;27113456.0;918516.0
1687867644.4152555;start;0.0013663768768310547;5981.0;855.0;916.0;0.0
1687867644.416622;foo;10.009714603424072;45835027.0;9483801.0;22440677.0;969602.0
1687867654.4338582;start;0.0014154911041259766;2503.0;854.0;793.0;0.0
1687867654.4352736;foo;10.010674476623535;53655197.0;10538243.0;28800708.0;1819942.0
1687867664.453673;start;0.0010280609130859375;6775.0;976.0;794.0;0.0
1687867664.454701;foo;10.011375665664673;47137697.0;9488501.0;23646729.0;983762.0
1687867674.4693913;start;0.0005114078521728516;4212.0;1038.0;855.0;0.0
1687867674.4699028;foo;10.01048493385315;46586733.0;9452734.0;23207765.0;981138.0
1687867684.4858665;start;0.0005614757537841797;2685.0;0.0;305.0;0.0
1687867684.486428;foo;10.008367776870728;43995005.0;9245521.0;20891609.0;832762.0
1687867694.4960248;start;0.0001537799835205078;31494.0;1892.0;4700.0;0.0
1687867694.4961786;foo;10.011136293411255;50713798.0;9601477.0;27189811.0;989316.0
1687877068.2981246;start;0.0003459453582763672;0.0;0.0;2868.0;0.0
1687877068.2984705;foo;10.009608268737793;62252831.0;12003631.0;35489777.0;2866509.0
1687877078.3103042;start;0.0002148151397705078;0.0;0.0;3052.0;0.0
1687877078.310519;foo;10.010880470275879;91064952.0;15278220.0;59681305.0;5488877.0
1687877088.3244467;start;0.0005998611450195312;9765.0;0.0;2441.0;488.0
1687877088.3250465;foo;10.008782863616943;58749301.0;12015960.0;31915324.0;2742730.0
1687877098.336359;start;0.0004055500030517578;3723.0;793.0;1709.0;0.0
1687877098.3367646;foo;10.011535882949829;52809801.0;10619419.0;27755483.0;1786372.0
1687877108.3557858;start;0.001226663589477539;2380.0;916.0;1220.0;0.0
1687877108.3570125;foo;10.011765003204346;42052810.0;9269446.0;18685560.0;987668.0
1687877118.374829;start;0.0008084774017333984;2320.0;733.0;427.0;0.0
1687877118.3756375;foo;10.010369300842285;44356637.0;10104527.0;19695018.0;1772762.0
1687877128.3927004;start;0.0008969306945800781;2746.0;793.0;794.0;0.0
1687877128.3935974;foo;10.00977635383606;57427099.0;12401946.0;29894821.0;3295280.0
1687877138.409431;start;0.0009405612945556641;3295.0;1160.0;1526.0;0.0
1687877138.4103715;foo;10.011205911636353;54919660.0;10811740.0;29781723.0;1667171.0
1687877148.4273732;start;0.0010271072387695312;4639.0;1159.0;2014.0;0.0
1687877148.4284003;foo;10.011010885238647;56290505.0;11060580.0;30776410.0;2018671.0
1687877158.4449198;start;0.0013451576232910156;2686.0;916.0;1587.0;0.0
1687877158.446265;foo;10.012279033660889;53057054.0;10053380.0;28891100.0;1203733.0
1687877168.4604588;start;0.00022268295288085938;12085.0;2075.0;1893.0;244.0
1687877168.4606814;foo;10.009464263916016;47730774.0;10285435.0;23038026.0;1605647.0
1687877178.4776783;start;0.001291036605834961;2380.0;855.0;732.0;0.0
1687877178.4789693;foo;10.011353015899658;46690799.0;10210301.0;21685553.0;2199763.0
